DEPTH,BS,CALI,CHKS,VP,VS,GR,GRN,NPHI,PHIE,PHIT,RD,RHOB,RM,RS,SWE,VSH
9874.0,8.5,7.7641,2126.4077,3450.9502,2126.1191,75.6833,83.6833,0.1283,0.2029,0.2108,66.9202,2.2591,60.5213,29.1197,0.1423,8.8
9874.5,8.5,7.7626,2126.4978,3551.5908,2126.8015,76.2175,84.2175,0.1299,0.2036,0.2116,61.0544,2.2583,55.1767,27.4398,0.141,8.94
9875.0,8.5,7.7687,2126.5879,3606.678,2130.5193,75.6536,83.6536,0.1307,0.2059,0.2138,60.5032,2.2539,60.0253,31.0291,0.1416,8.79
9875.5,8.5,7.7772,2126.6782,3615.3193,2134.7214,75.3606,83.3606,0.1303,0.2086,0.2165,51.6507,2.2468,54.8343,28.9415,0.1521,8.71
9876.0,8.5,7.7678,2126.7683,3600.5303,2159.1602,76.4982,84.4982,0.1307,0.2102,0.2183,42.7841,2.2419,48.6293,28.2159,0.2174,9.02
9876.5,8.5,7.7863,2126.8584,3617.5981,2154.2615,76.3915,84.3915,0.1342,0.2111,0.2192,33.7128,2.2432,40.6026,26.5834,0.3098,8.99
9877.0,8.5,7.7715,2126.9487,3621.5354,2127.7161,76.1978,84.1978,0.1605,0.2205,0.2286,26.475,2.2458,30.4432,22.1071,0.3145,8.94
9877.5,8.5,7.7482,2127.0388,3590.4402,2134.9082,77.0524,85.0524,0.2302,0.0,0.0,21.8762,2.2446,22.7908,18.9959,1.0,100.0
9878.0,8.5,7.745,2127.1289,3518.5295,2147.0261,79.5737,87.5737,0.3336,0.0,0.0,17.5036,2.2116,16.4815,14.7198,1.0,100.0
9878.5,8.5,7.7683,2127.2192,3479.3052,2105.5786,88.8708,96.8708,0.353,0.0,0.0,12.0265,2.1422,10.3613,8.5376,1.0,100.0
9879.0,8.5,8.1161,2127.3093,3282.8767,2019.7456,104.7818,112.7818,0.3271,0.0,0.0,7.5587,2.1707,6.4624,5.465,1.0,100.0
9879.5,8.5,8.1829,2127.3994,2949.9583,1871.5416,118.5312,126.5312,0.2589,0.0,0.0,4.5056,2.3331,4.0941,3.6117,1.0,100.0
9880.0,8.5,8.1335,2127.4897,2742.4722,1765.6095,127.3739,135.3739,0.2087,0.0,0.0,3.0283,2.4672,2.8939,2.6366,1.0,100.0
9880.5,8.5,8.2431,2127.5798,2675.1648,1754.2335,131.2902,139.2902,0.1916,0.0337,0.1018,2.5055,2.5205,2.4609,2.323,1.0,75.67
9881.0,8.5,8.2482,2127.6699,2775.2385,1743.0031,131.5656,139.5656,0.1593,0.0282,0.0881,2.2834,2.5317,2.2602,2.1822,1.0,66.63
9881.5,8.5,8.252,2127.7603,3022.823,1742.9672,131.4393,139.4393,0.1456,0.031,0.0861,2.3602,2.528,2.3433,2.2945,1.0,61.21
9882.0,8.5,8.2493,2127.8503,3382.3411,1796.0632,129.1081,137.1081,0.132,0.0288,0.0797,2.6806,2.5351,2.6598,2.6026,1.0,56.57
9882.5,8.5,8.2491,2127.9404,3598.9656,1910.8616,127.5033,135.5033,0.1271,0.0179,0.0697,2.948,2.555,2.9289,2.8401,1.0,57.5
9883.0,8.5,8.2479,2128.0308,3745.6177,1988.3361,130.2751,138.2751,0.1322,0.0,0.0536,3.1045,2.5999,3.1098,3.0217,1.0,69.19
9883.5,8.5,8.2528,2128.1208,3780.1887,2012.8458,132.0077,140.0077,0.1363,0.0,0.0302,3.25,2.6434,3.292,3.2245,1.0,80.49
9884.0,8.5,8.2066,2128.2112,3818.0178,2030.7992,129.3038,137.3038,0.1395,0.0,0.031,3.393,2.6417,3.4764,3.4211,1.0,79.56
9884.5,8.5,8.2144,2128.3015,3824.394,2059.2285,124.4454,132.4454,0.1369,0.0,0.0468,3.572,2.6114,3.682,3.6246,1.0,69.42
9885.0,8.5,8.2042,2128.3916,3893.9138,2100.7073,125.2369,133.2369,0.1328,0.0,0.0559,3.7543,2.5902,3.8386,3.8329,1.0,64.46
9885.5,8.5,8.2103,2128.4819,3957.9377,2156.8362,131.1064,139.1064,0.1334,0.0,0.0575,3.763,2.5931,3.7763,3.8233,1.0,68.84
9886.0,8.5,8.1846,2128.5723,4004.3984,2171.6487,132.656,140.656,0.1334,0.0,0.0538,3.8327,2.6002,3.7651,3.7802,1.0,71.21
9886.5,8.5,8.176,2128.6624,4028.4475,2132.8662,132.1991,140.1991,0.1421,0.0,0.0615,3.6914,2.5873,3.5676,3.4477,1.0,71.59
9887.0,8.5,8.1421,2128.7527,4036.6211,2077.9944,141.7753,149.7753,0.1646,0.0192,0.0888,3.1315,2.5431,3.0312,2.8312,1.0,77.3
9887.5,8.5,7.9642,2128.843,3974.0383,2028.0249,154.3219,162.3219,0.1832,0.0465,0.1204,2.5382,2.4911,2.5182,2.3612,1.0,82.08
9888.0,8.5,8.2407,2128.9331,3767.2419,1987.4961,154.5787,162.5787,0.198,0.0495,0.1268,2.3524,2.4814,2.399,2.3245,1.0,85.81
9888.5,8.5,8.0423,2129.0234,3550.4905,1944.8549,149.2859,157.2859,0.2224,0.0254,0.113,2.3873,2.5081,2.4402,2.4266,1.0,97.36
9889.0,8.5,8.2199,2129.1138,3369.5007,1891.4513,148.1624,156.1624,0.2199,0.0119,0.1019,2.5398,2.5278,2.5479,2.5684,1.0,100.0
9889.5,8.5,8.2453,2129.2039,3292.8357,1816.7676,146.7983,154.7983,0.2127,0.0,0.0856,2.9051,2.5562,2.8527,2.8691,1.0,100.0
9890.0,8.5,8.32,2129.2942,3217.6372,1734.871,139.3998,147.3998,0.2058,0.0,0.0616,3.1135,2.5974,3.0371,2.9717,1.0,100.0
9890.5,8.5,8.3551,2129.3845,3275.0459,1750.6576,132.5256,140.5256,0.1969,0.0,0.0629,2.9136,2.5921,2.8735,2.7121,1.0,93.6
9891.0,8.5,8.363,2129.4746,3422.5425,1849.2531,132.8982,140.8982,0.1817,0.0195,0.0893,2.6283,2.5424,2.6438,2.4994,1.0,77.53
9891.5,8.5,8.3638,2129.5649,3575.5762,1956.6683,140.1504,148.1504,0.1833,0.0553,0.1202,2.4332,2.4883,2.5087,2.4431,1.0,72.11
9892.0,8.5,8.3662,2129.6553,3619.7979,1899.2583,149.6507,157.6507,0.1982,0.0699,0.1396,2.546,2.4571,2.6474,2.6897,0.8796,77.51
9892.5,8.5,8.3565,2129.7454,3552.7913,1836.1689,152.2895,160.2895,0.1812,0.0505,0.1219,3.0059,2.4877,3.1026,3.2023,0.8952,79.25
9893.0,8.5,8.366,2129.8357,3421.4399,1778.0122,139.5896,147.5896,0.142,0.0132,0.0772,3.5572,2.5607,3.6039,3.678,1.0,71.11
9893.5,8.5,8.3502,2129.926,3366.6648,1786.9769,122.6473,130.6473,0.1176,0.0,0.0465,4.0587,2.6028,3.9815,3.9669,1.0,59.93
9894.0,8.5,8.3392,2130.0161,3477.4197,1875.78,119.3318,127.3318,0.1179,0.0,0.0461,4.1965,2.6055,4.0029,3.891,1.0,58.57
9894.5,8.5,8.3114,2130.1064,3699.8599,2000.9612,124.3618,132.3618,0.1247,0.0,0.049,3.638,2.601,3.4988,3.2718,1.0,63.09
9895.0,8.5,8.3068,2130.1968,3918.7097,2123.7354,127.6787,135.6787,0.1404,0.0022,0.0622,3.4346,2.5797,3.3379,3.1171,1.0,66.66
9895.5,8.5,8.237,2130.2871,4081.5615,2173.6401,131.606,139.606,0.1562,0.0228,0.0845,3.3052,2.5474,3.2166,3.0101,1.0,68.53
9896.0,8.5,8.1813,2130.3774,4013.2563,2126.4365,141.1007,149.1007,0.1692,0.0206,0.0908,3.1028,2.54,3.0176,2.8335,1.0,77.94
9896.5,8.5,8.2319,2130.4678,3836.3752,2049.6929,149.3229,157.3229,0.1712,0.0101,0.0875,3.238,2.5481,3.1369,2.9908,1.0,85.99
9897.0,8.5,8.2811,2130.5581,3670.1621,1949.9313,151.1775,159.1775,0.1696,0.0049,0.0841,3.909,2.5545,3.7501,3.5549,1.0,88.03
9897.5,8.5,8.2309,2130.6484,3557.7263,1909.1381,146.5628,154.5628,0.1448,0.0136,0.0815,4.7306,2.5548,4.5593,4.1022,1.0,75.48
9898.0,8.5,8.2071,2130.7388,3586.4185,1910.3933,135.2478,143.2478,0.1264,0.02,0.0736,4.6423,2.5422,4.4087,4.0641,1.0,59.52
9898.5,8.5,8.1598,2130.8291,3665.0212,1980.1337,124.1636,132.1636,0.1277,0.0393,0.0848,4.638,2.5236,4.4101,4.065,1.0,50.48
9899.0,8.5,8.0207,2130.9194,3793.8384,2131.1348,118.9324,126.9324,0.1285,0.0496,0.0911,4.9812,2.5125,4.8291,4.2542,1.0,46.12
9899.5,8.5,8.0731,2131.0098,3886.3523,2214.4033,115.4367,123.4367,0.1242,0.0495,0.0888,5.2137,2.5167,5.3579,4.5914,1.0,43.71
9900.0,8.5,7.9843,2131.1001,3862.7605,2206.2034,109.9336,117.9336,0.125,0.0535,0.0905,5.3737,2.5161,5.6937,4.9304,1.0,41.06
9900.5,8.5,7.8919,2131.1904,3849.5637,2202.3345,103.2706,111.2706,0.1235,0.0712,0.102,5.6493,2.4931,5.9412,5.3951,1.0,34.17
9901.0,8.5,7.9195,2131.2808,3867.7112,2257.363,95.3444,103.3444,0.119,0.0967,0.1191,6.0479,2.4564,6.0871,5.6529,0.9196,24.91
9901.5,8.5,7.7754,2131.3711,3846.7898,2271.6855,90.8771,98.8771,0.1239,0.106,0.1266,6.4057,2.4451,5.9912,5.5307,0.8851,22.92
